income,monthly_expenses,distance_to_college_work,travel_time_by_bus,transport_cost,bus_frequency,family_size,current_vehicle,loan_payment,savings,debt_focus,emergency_fund_status,investment_advice,car_recommendation
4530.0,3130.0,43.6,180.0,80.0,6.6,3,car,640.0,611.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car not recommended
3950.0,2920.0,44.6,135.0,105.0,2.1,3,bicycle,0.0,634.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
1250.0,1000.0,23.3,92.0,41.0,1.1,3,none,390.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car recommended
3380.0,2560.0,22.5,138.0,57.0,0.1,2,none,1440.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
2030.0,1000.0,15.8,119.0,16.0,0.2,2,none,310.0,445.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
2190.0,850.0,5.2,61.0,9.0,0.3,1,car,0.0,1072.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
3160.0,1750.0,7.1,27.0,21.0,5.4,2,bicycle,710.0,503.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Consider later
410.0,220.0,36.2,96.0,65.0,1.5,2,none,0.0,115.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
800.0,350.0,38.7,131.0,70.0,0.9,2,bicycle,0.0,416.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
3390.0,2180.0,44.4,177.0,94.0,1.5,5,car,530.0,444.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car not recommended
4920.0,3920.0,3.5,86.0,10.0,0.1,6,motorbike,0.0,671.0,Debt is manageable,Build emergency fund,Invest moderately,Car recommended
5300.0,3560.0,11.3,122.0,21.0,0.1,4,motorbike,1100.0,428.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car recommended
1560.0,560.0,12.7,79.0,24.0,0.7,1,car,0.0,983.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
1000.0,750.0,29.1,113.0,73.0,0.9,1,none,0.0,237.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
550.0,360.0,33.1,96.0,85.0,1.0,2,motorbike,280.0,8.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
500.0,340.0,18.5,78.0,20.0,2.6,2,none,200.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
2590.0,1340.0,9.2,54.0,13.0,1.8,3,none,0.0,1119.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
970.0,620.0,39.2,121.0,75.0,0.7,1,none,260.0,97.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car recommended
1180.0,710.0,43.0,154.0,47.0,0.3,2,motorbike,630.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
5460.0,3510.0,19.0,60.0,27.0,2.4,4,bicycle,0.0,1089.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
680.0,530.0,22.0,99.0,39.0,2.3,2,none,0.0,112.0,Debt is manageable,Build emergency fund,Invest moderately,Car recommended
1330.0,750.0,11.4,50.0,37.0,0.9,1,bicycle,370.0,163.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car not recommended
6190.0,2230.0,41.2,121.0,87.0,1.4,3,motorbike,2220.0,1383.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Consider later
1320.0,970.0,1.4,28.0,5.0,0.8,3,none,0.0,180.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car not recommended
2170.0,1150.0,11.6,47.0,19.0,2.0,6,none,330.0,489.0,Debt is manageable,Emergency fund adequate,Do not invest aggressively,Consider later
3080.0,1350.0,11.8,66.0,19.0,0.5,5,car,400.0,1289.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
4180.0,3430.0,31.7,176.0,75.0,0.2,6,car,0.0,491.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car not recommended
3630.0,1840.0,31.8,130.0,48.0,2.2,5,none,0.0,1342.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1080.0,800.0,37.5,180.0,64.0,0.1,1,bicycle,500.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
690.0,510.0,10.9,40.0,24.0,1.4,1,bicycle,140.0,53.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car not recommended
1610.0,1130.0,6.4,100.0,5.0,0.1,2,none,0.0,482.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
3190.0,2250.0,28.8,106.0,57.0,1.3,4,bicycle,0.0,777.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
4470.0,2840.0,18.1,67.0,39.0,3.3,5,motorbike,0.0,1450.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1170.0,580.0,17.3,101.0,31.0,0.2,2,motorbike,460.0,72.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
6360.0,3430.0,31.4,114.0,27.0,2.3,4,motorbike,0.0,2481.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1180.0,730.0,25.2,73.0,31.0,1.8,2,none,430.0,7.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
5360.0,3950.0,41.2,139.0,41.0,1.2,3,bicycle,0.0,1335.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
2950.0,1750.0,42.8,180.0,95.0,0.1,2,motorbike,0.0,1167.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
2640.0,1710.0,15.0,63.0,25.0,3.6,4,none,870.0,39.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
3370.0,2630.0,28.7,84.0,32.0,2.2,5,none,0.0,686.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
2260.0,1530.0,21.5,77.0,45.0,1.9,3,bicycle,270.0,351.0,Debt is manageable,Emergency fund adequate,Do not invest aggressively,Car recommended
960.0,690.0,5.2,32.0,8.0,2.0,2,none,320.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
2950.0,1310.0,10.4,48.0,22.0,2.5,2,motorbike,0.0,918.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
3280.0,1370.0,2.9,41.0,5.0,1.0,2,bicycle,0.0,1661.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
6440.0,2920.0,40.8,180.0,58.0,0.1,3,bicycle,0.0,2552.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
4290.0,2150.0,25.2,78.0,57.0,3.2,3,motorbike,0.0,1315.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1210.0,820.0,0.8,39.0,8.0,0.6,1,bicycle,0.0,334.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
520.0,270.0,16.5,87.0,24.0,1.3,2,car,0.0,206.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
6600.0,3480.0,4.5,38.0,19.0,1.2,6,none,0.0,2955.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
970.0,410.0,19.5,46.0,18.0,3.2,2,motorbike,0.0,313.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
3040.0,1620.0,9.2,66.0,15.0,0.6,3,motorbike,0.0,1214.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
5650.0,3680.0,13.5,41.0,29.0,1.9,2,motorbike,2330.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
5910.0,2340.0,1.7,48.0,5.0,0.4,5,motorbike,790.0,2776.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
510.0,240.0,27.0,140.0,62.0,0.2,1,none,0.0,171.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
790.0,350.0,43.0,140.0,91.0,1.2,2,motorbike,420.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
4340.0,2100.0,4.3,46.0,15.0,0.5,4,motorbike,2180.0,19.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
410.0,200.0,16.5,87.0,38.0,2.0,2,motorbike,200.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
1290.0,650.0,11.2,70.0,15.0,0.5,1,car,580.0,57.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
4520.0,3330.0,5.4,87.0,7.0,0.1,3,motorbike,0.0,822.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
2620.0,1630.0,24.4,82.0,66.0,3.3,4,bicycle,0.0,769.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
2060.0,1220.0,1.5,15.0,5.0,1.5,1,bicycle,870.0,10.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
1240.0,610.0,41.2,114.0,46.0,1.0,3,motorbike,500.0,124.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
6550.0,4320.0,9.0,93.0,5.0,0.2,5,none,3010.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
6260.0,4760.0,17.4,85.0,27.0,1.2,5,car,0.0,1426.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
3120.0,1390.0,4.7,31.0,5.0,0.8,3,motorbike,1690.0,16.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
1340.0,890.0,24.5,115.0,21.0,0.4,2,motorbike,0.0,303.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
5720.0,4200.0,3.7,42.0,5.0,0.6,4,none,0.0,1046.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
2600.0,1440.0,22.1,70.0,28.0,0.9,2,motorbike,1220.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
820.0,430.0,21.8,82.0,35.0,3.0,2,car,370.0,18.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
1380.0,750.0,18.1,62.0,37.0,1.9,2,none,0.0,531.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
5390.0,2770.0,30.1,150.0,29.0,0.3,3,none,0.0,1858.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
4090.0,1890.0,20.6,95.0,44.0,0.6,2,none,1050.0,901.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car recommended
4710.0,2510.0,44.3,180.0,100.0,0.1,3,motorbike,1910.0,154.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
5960.0,3000.0,21.7,62.0,40.0,2.4,2,none,2120.0,753.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
4130.0,2880.0,36.1,126.0,65.0,2.2,5,motorbike,2070.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
3150.0,1830.0,43.7,173.0,89.0,0.4,1,none,1060.0,140.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car recommended
3770.0,1830.0,6.6,47.0,11.0,0.7,3,motorbike,1360.0,509.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
1240.0,870.0,5.1,27.0,11.0,3.2,3,car,0.0,237.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car not recommended
2370.0,1070.0,15.9,110.0,37.0,0.3,3,none,0.0,1234.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
3940.0,1620.0,14.0,51.0,31.0,4.1,4,motorbike,2030.0,213.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
890.0,320.0,20.8,63.0,27.0,1.2,1,none,450.0,99.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
3490.0,1350.0,40.6,137.0,95.0,1.1,3,motorbike,0.0,1246.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
5180.0,2730.0,32.9,135.0,41.0,0.2,6,motorbike,0.0,1923.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
820.0,660.0,19.6,87.0,29.0,0.5,2,motorbike,0.0,153.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
770.0,300.0,8.2,31.0,8.0,4.7,1,motorbike,0.0,401.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
1100.0,850.0,4.5,77.0,5.0,0.2,2,none,0.0,118.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
810.0,520.0,19.7,92.0,30.0,0.3,1,none,220.0,24.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car recommended
2420.0,1140.0,2.9,20.0,5.0,2.6,2,motorbike,1170.0,61.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
440.0,160.0,2.5,12.0,6.0,5.5,1,motorbike,0.0,276.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
3430.0,1510.0,32.1,123.0,57.0,1.9,5,none,520.0,907.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
5160.0,2220.0,26.7,149.0,24.0,0.2,3,motorbike,0.0,2709.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
2790.0,1180.0,9.6,54.0,27.0,1.4,3,none,0.0,1195.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
2530.0,1080.0,1.7,25.0,5.0,1.4,3,motorbike,0.0,882.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
3360.0,2360.0,22.5,127.0,36.0,0.3,3,bicycle,0.0,907.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
3060.0,1580.0,20.7,129.0,50.0,0.3,2,bicycle,1240.0,201.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Consider later
1150.0,810.0,23.1,88.0,45.0,2.0,2,motorbike,0.0,181.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
3400.0,1820.0,37.6,160.0,45.0,1.2,5,none,0.0,1018.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1000.0,440.0,24.4,112.0,50.0,0.6,1,bicycle,0.0,386.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
2990.0,2050.0,6.9,57.0,24.0,0.5,1,motorbike,0.0,917.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
3270.0,1450.0,25.3,104.0,30.0,0.3,3,none,0.0,1298.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
5050.0,2730.0,13.9,67.0,31.0,1.4,4,bicycle,0.0,2233.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
540.0,300.0,33.7,108.0,78.0,1.0,1,motorbike,160.0,30.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car recommended
5850.0,2920.0,42.6,176.0,46.0,1.5,3,car,0.0,2301.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
1880.0,1060.0,2.5,31.0,5.0,1.4,2,none,0.0,453.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
3480.0,1380.0,22.2,110.0,40.0,0.6,2,motorbike,750.0,780.0,Debt is manageable,Emergency fund adequate,Do not invest aggressively,Car recommended
4290.0,2150.0,42.8,147.0,85.0,1.4,5,motorbike,2190.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
5240.0,2250.0,19.2,75.0,35.0,1.2,3,motorbike,0.0,2197.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
5210.0,2390.0,17.7,112.0,34.0,0.4,6,motorbike,0.0,2703.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
3740.0,1910.0,43.8,131.0,104.0,5.0,5,motorbike,0.0,1167.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
2180.0,1540.0,18.6,96.0,39.0,1.0,1,motorbike,0.0,586.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
700.0,520.0,10.8,34.0,22.0,2.0,2,none,360.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
5880.0,4570.0,10.4,83.0,14.0,0.3,5,car,2540.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
3300.0,2510.0,26.8,120.0,66.0,2.4,3,none,1750.0,13.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
1400.0,930.0,44.8,133.0,54.0,6.3,2,none,0.0,318.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
4390.0,2040.0,12.3,116.0,16.0,0.1,4,motorbike,0.0,1730.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1070.0,560.0,32.2,97.0,50.0,5.4,2,car,520.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
4990.0,3840.0,24.4,159.0,52.0,0.1,5,bicycle,0.0,728.0,Debt is manageable,Build emergency fund,Invest moderately,Car recommended
4810.0,3510.0,11.2,55.0,27.0,0.7,5,car,0.0,920.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
2950.0,2100.0,13.5,65.0,28.0,0.7,2,none,0.0,787.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
3350.0,1840.0,8.9,25.0,12.0,2.7,2,none,1760.0,9.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
2220.0,1650.0,8.3,72.0,9.0,0.4,4,none,1000.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
950.0,520.0,3.4,41.0,5.0,0.7,1,none,130.0,204.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
2810.0,1600.0,22.2,127.0,31.0,0.2,4,bicycle,0.0,618.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
2750.0,2070.0,9.0,107.0,15.0,0.1,3,none,0.0,534.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
2900.0,1600.0,18.9,76.0,37.0,2.1,3,motorbike,0.0,992.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
3180.0,1980.0,38.8,156.0,61.0,0.8,2,bicycle,0.0,1087.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
430.0,300.0,8.6,44.0,6.0,2.1,1,none,0.0,77.0,Debt is manageable,Emergency fund adequate,Invest moderately,Consider later
3410.0,1530.0,16.0,58.0,31.0,0.9,2,none,0.0,1777.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
470.0,240.0,8.5,55.0,11.0,0.7,1,none,0.0,226.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
2040.0,1320.0,24.4,126.0,50.0,0.2,1,motorbike,1020.0,5.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
1180.0,750.0,34.2,117.0,33.0,1.6,1,none,0.0,305.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1860.0,1180.0,44.8,169.0,58.0,2.5,1,motorbike,570.0,82.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car recommended
1900.0,1250.0,2.2,27.0,6.0,1.2,3,none,0.0,509.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
860.0,560.0,30.9,109.0,60.0,1.7,2,motorbike,350.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
700.0,330.0,35.8,178.0,44.0,0.3,1,motorbike,280.0,66.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
1350.0,600.0,8.5,70.0,15.0,0.6,1,none,0.0,700.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
5940.0,4150.0,10.3,64.0,22.0,0.5,5,motorbike,0.0,1582.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
3470.0,1910.0,19.0,94.0,40.0,1.2,3,none,950.0,425.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car recommended
3290.0,2070.0,21.9,110.0,38.0,0.5,2,none,0.0,1039.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
3140.0,1660.0,11.4,34.0,13.0,4.1,3,bicycle,0.0,1084.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
3450.0,1430.0,40.6,180.0,52.0,0.2,1,bicycle,1810.0,181.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
1020.0,720.0,27.0,68.0,54.0,3.3,2,none,290.0,17.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car recommended
1020.0,660.0,6.3,94.0,12.0,0.1,1,none,190.0,79.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car recommended
2460.0,1540.0,36.9,152.0,39.0,2.3,3,none,0.0,844.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
960.0,430.0,38.3,105.0,67.0,2.3,1,bicycle,110.0,288.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
6270.0,3720.0,30.4,148.0,54.0,0.4,3,none,0.0,2543.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
520.0,340.0,8.2,63.0,11.0,0.5,1,motorbike,0.0,154.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
950.0,570.0,2.4,41.0,5.0,0.4,2,motorbike,0.0,341.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
2650.0,1260.0,20.5,68.0,42.0,1.6,3,none,0.0,848.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1150.0,580.0,39.3,112.0,71.0,0.8,2,motorbike,340.0,207.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car recommended
